City;Month;Min. Temperature °C (°F);Max. Temperature °C (°F);Precipitation / Rainfall mm (in);avg. Sun hours (hours);Rainy days (d)
Gallup;April;37.1;63.6;17 (0);11.1;3
Gallup;May;45.9;72.3;16 (0);12.3;3
Gallup;June;56.9;83.6;7 (0);13.0;1
Gallup;July;61.8;84.4;35 (1);12.5;5
Gallup;August;58.7;81.1;38 (1);11.7;6
Gallup;September;52.7;76;26 (1);10.8;4
Gallup;October;42;65.3;21 (0);9.6;3
Gallup;November;31.4;53.3;20 (0);8.6;3
Gallup;December;22.2;40.9;28 (1);7.6;4
Galway;January;38.6;46.4;107 (4);3.2;12
Galway;February;38;47.2;90 (3);3.8;10
Galway;March;38.9;49.9;84 (3);4.5;10
Galway;April;41.8;54.1;82 (3);5.9;11
Galway;May;46.9;58.7;85 (3);6.3;11
Galway;June;51.3;62.8;85 (3);6.2;10
Galway;July;54.2;64.8;90 (3);5.3;11
Galway;August;53.9;64;97 (3);5.0;11
Galway;September;51.6;61.3;80 (3);4.2;9
Galway;October;47.1;56;102 (4);4.1;11
Galway;November;42.1;50.2;105 (4);3.5;11
Galway;December;39.3;46.8;110 (4);3.1;11
Geneva;January;28.5;39.3;118 (4);4.6;9
Geneva;February;28.9;41.4;106 (4);5.4;8
Geneva;March;33.9;49.5;112 (4);6.8;9
Geneva;April;40.4;57.4;116 (4);8.5;11
Geneva;May;47.6;63.5;147 (5);9.1;12
Geneva;June;54.8;70.9;129 (5);10.6;11
Geneva;July;58.4;74;128 (5);10.7;10
Geneva;August;58.1;73.4;119 (4);9.5;10
Geneva;September;51.3;66.4;113 (4);7.5;9
Geneva;October;44.3;59.6;115 (4);6.3;9
Geneva;November;35.3;48;132 (5);5.0;10
Geneva;December;30;41;133 (5);4.5;10
Ghent;January;35.1;43.4;67 (2);3.2;9
Ghent;February;34.9;44.9;57 (2);4.0;9
Ghent;March;37.8;50.8;57 (2);5.5;9
Ghent;April;42.4;58;55 (2);7.8;9
Ghent;May;49;63.9;66 (2);8.6;9
Ghent;June;54.1;69.2;68 (2);9.1;8
Ghent;July;58.2;72.4;75 (2);9.5;10
Ghent;August;57.8;71.7;78 (3);8.7;9
Ghent;September;53.9;66.8;59 (2);6.8;8
Ghent;October;48.6;59.4;61 (2);5.2;8
Ghent;November;41.9;50.5;68 (2);3.7;9
Ghent;December;36.7;44.3;75 (2);3.1;10
Girona;January;35.7;53;56 (2);6.7;6
Girona;February;36.3;54.3;57 (2);7.0;6
Girona;March;41;60.1;76 (2);8.1;7
Girona;April;46.2;64.6;94 (3);8.7;9
Girona;May;52.5;71.2;96 (3);9.9;8
Girona;June;60.6;80.1;75 (2);11.0;8
Girona;July;65.4;84.2;72 (2);10.5;7
Girona;August;65.5;84;73 (2);9.7;8
Girona;September;59.5;76.2;108 (4);8.0;9
Girona;October;53.7;69.2;116 (4);6.9;8
Girona;November;43.5;59.4;78 (3);6.6;7
Girona;December;37.2;54;62 (2);6.7;5
Golden;January;9.2;23.7;28 (1);4.9;5
Golden;February;12.3;28.3;30 (1);5.8;4
Golden;March;24.4;41.9;55 (2);7.2;6
Golden;April;37.3;56.1;85 (3);8.5;8
Golden;May;49.9;68;113 (4);9.7;8
Golden;June;60.7;77.3;115 (4);10.8;9
Golden;July;66.3;82.6;95 (3);11.3;8
Golden;August;63.9;79.7;101 (3);9.9;7
Golden;September;57.1;72.4;86 (3);8.5;7
Golden;October;43.6;57.3;70 (2);6.4;6
Golden;November;30.6;42.7;52 (2);5.5;5
Golden;December;15.6;27.9;39 (1);4.3;5
Granada;January;33.9;52.2;53 (2);6.5;6
Granada;February;35.7;54.3;51 (2);7.0;6
Granada;March;39.7;60;59 (2);8.1;6
Granada;April;44.7;64.9;58 (2);9.2;7
Granada;May;51.7;73.1;52 (2);11.0;6
Granada;June;61;84.1;28 (1);12.7;4
Granada;July;67.2;91.1;8 (0);12.9;2
Granada;August;66.9;90.7;15 (0);12.1;3
Granada;September;59.7;81;38 (1);10.3;4
Granada;October;51.7;71.3;54 (2);8.4;6
Granada;November;40.8;58.3;60 (2);6.8;6
Granada;December;36.1;54;60 (2);6.4;6
Grand;January;17.7;30.1;70 (2);3.0;10
Grand;February;17.7;32.6;56 (2);4.7;7
Grand;March;26.9;43.7;66 (2);7.0;7
Grand;April;38.3;57.2;102 (4);8.6;8
Grand;May;50.3;68.4;112 (4);9.8;9
Grand;June;60.2;77;101 (3);10.9;8
Grand;July;64.6;81;101 (3);11.0;8
Grand;August;63.5;79.1;98 (3);9.7;8
Grand;September;57.4;73;81 (3);8.4;7
Grand;October;46.2;59.5;92 (3);6.2;8
Grand;November;35.4;46.7;77 (3);4.6;7
Grand;December;25.2;35.1;68 (2);3.0;9
Granville;January;41.3;46.8;124 (4);3.5;12
Granville;February;40.8;47;98 (3);4.6;11
Granville;March;43;50.6;85 (3);6.1;10
Granville;April;46.3;54.7;77 (3);8.0;10
Granville;May;51.3;59.4;75 (2);8.5;9
Granville;June;56.3;64.6;70 (2);9.2;8
Granville;July;59.8;67.5;71 (2);9.4;10
Granville;August;60.3;67.7;81 (3);8.5;10
Granville;September;57.8;65.5;96 (3);7.2;10
Granville;October;53.6;60.1;127 (5);5.4;12
Granville;November;47.6;52.9;139 (5);4.3;13
Granville;December;42.9;48.2;149 (5);3.7;12
Grenoble;January;25.9;39.2;123 (4);4.8;9
Grenoble;February;26.7;40.7;109 (4);5.3;8
Grenoble;March;32.9;48.9;111 (4);6.9;9
Grenoble;April;38.7;56.6;127 (5);8.1;11
Grenoble;May;46;63.4;152 (5);8.7;13
Grenoble;June;53.7;71.1;133 (5);9.8;11
Grenoble;July;57.5;74.7;119 (4);10.4;10
Grenoble;August;57.1;74.2;111 (4);9.5;9
Grenoble;September;50.5;66.8;113 (4);7.5;9
Grenoble;October;43.5;59.9;121 (4);6.4;9
Grenoble;November;33.3;47.7;150 (5);5.1;10
Grenoble;December;27.4;41;135 (5);4.6;10
Guangzhou;January;50.4;65.3;55 (2);5.5;6
Guangzhou;February;54.8;68.9;70 (2);4.0;8
Guangzhou;March;60.5;73.9;144 (5);3.6;12
Guangzhou;April;68.2;80.3;244 (9);4.3;14
Guangzhou;May;73.6;84.7;331 (13);6.5;16
Guangzhou;June;77.4;87.6;397 (15);8.1;18
Guangzhou;July;78.4;89.2;274 (10);9.1;17
Guangzhou;August;78.2;89;284 (11);9.0;17
Guangzhou;September;75.6;87.3;175 (6);8.6;12
Guangzhou;October;69.5;83.3;62 (2);7.9;5
Guangzhou;November;61.2;76.1;45 (1);7.0;5
Guangzhou;December;51.9;67.6;42 (1);7.0;4
Guatemala City;January;53.8;74.2;5 (0);7.2;1
Guatemala City;February;54.9;76.8;4 (0);8.3;1
Guatemala City;March;56.3;78.9;9 (0);9.0;1
Guatemala City;April;58.4;79.9;27 (1);9.8;4
Guatemala City;May;60.1;77;74 (2);9.6;9
Guatemala City;June;59.4;74.1;134 (5);9.2;15
Guatemala City;July;58.5;75;68 (2);9.2;10
Guatemala City;August;58.7;75.5;75 (2);9.3;11
Guatemala City;September;58.9;74;129 (5);8.6;14
Guatemala City;October;58;72.7;101 (3);7.3;10
Guatemala City;November;55.7;72.6;27 (1);6.6;3
Guatemala City;December;54.5;73.8;9 (0);7.1;1
Hamad;January;59.1;65.6;16 (0);9.1;2
Hamad;February;60.4;67.1;11 (0);9.9;2
Hamad;March;65.1;72.4;11 (0);10.7;2
Hamad;April;72.5;79.4;3 (0);11.5;1
Hamad;May;80.7;87.8;0 (0);12.1;0
Hamad;June;85.5;93.4;0 (0);12.4;0
Hamad;July;88.1;95.8;0 (0);12.2;0
Hamad;August;88.5;96.1;0 (0);11.7;0
Hamad;September;85.4;93.8;0 (0);11.1;0
Hamad;October;80.3;88.1;0 (0);10.3;0
Hamad;November;72;78.5;12 (0);9.6;1
Hamad;December;63;69.5;15 (0);9.0;2
Hamburg;January;31.2;38.7;68 (2);2.4;10
Hamburg;February;31.2;40.6;54 (2);3.5;8
Hamburg;March;33.5;46.8;59 (2);4.9;9
Hamburg;April;39.9;56.5;54 (2);7.9;8
Hamburg;May;47.3;63.8;69 (2);9.4;9
Hamburg;June;53.2;68.8;77 (3);9.7;9
Hamburg;July;57.4;72.6;90 (3);9.9;10
Hamburg;August;57.2;71.7;82 (3);9.2;10
Hamburg;September;52.4;65.6;64 (2);6.8;8
Hamburg;October;45.8;56.2;60 (2);4.8;9
Hamburg;November;38.8;46.6;59 (2);3.1;9
Hamburg;December;33.8;40.7;68 (2);2.3;9
Heraklion;January;45.2;56.2;72 (2);5.3;9
Heraklion;February;45.1;57.6;71 (2);6.0;8
Heraklion;March;47.4;62.4;56 (2);8.1;6
Heraklion;April;52.1;68.7;37 (1);9.8;4
Heraklion;May;59;76.6;32 (1);11.4;3
Heraklion;June;66.3;83.4;13 (0);12.5;2
Heraklion;July;70.7;86.8;4 (0);12.4;1
Heraklion;August;70.9;86.2;6 (0);11.5;1
Heraklion;September;66.6;81.7;21 (0);9.8;3
Heraklion;October;60.4;73.6;38 (1);7.8;5
Heraklion;November;54.2;66.3;45 (1);6.3;5
Heraklion;December;48.5;58.8;69 (2);5.1;8
Hilo;January;74.8;82.3;175 (6);7.0;15
Hilo;February;74.4;82.7;131 (5);7.1;12
Hilo;March;75;84.5;106 (4);7.7;13
Hilo;April;76.4;86.6;83 (3);8.3;12
Hilo;May;77.3;86.4;154 (6);8.6;17
Hilo;June;76.9;84.9;240 (9);8.8;19
Hilo;July;76.5;83.9;271 (10);8.8;20
Hilo;August;76.6;84.1;225 (8);9.0;18
Hilo;September;76.4;84;243 (9);8.5;19
Hilo;October;76.1;83.8;260 (10);7.7;20
Hilo;November;76;83.9;213 (8);7.5;18
Hilo;December;75.6;83.1;195 (7);7.1;18
Hong Kong;January;55.1;64.9;36 (1);5.8;5
Hong Kong;February;58.4;67.5;53 (2);4.6;7
Hong Kong;March;63.2;71.8;78 (3);4.6;9
Hong Kong;April;69.4;77.2;132 (5);5.6;10
Hong Kong;May;74.7;81.5;217 (8);7.7;14
Hong Kong;June;78;84.2;322 (12);8.7;17
Hong Kong;July;78.8;85.4;263 (10);9.3;16
Hong Kong;August;78.3;85.4;311 (12);9.0;17
Hong Kong;September;76.7;84;225 (8);8.7;13
Hong Kong;October;72.4;80.3;75 (2);8.4;6
Hong Kong;November;65.5;74.5;47 (1);7.4;4
Hong Kong;December;57;67;37 (1);7.0;3
Honolulu;January;68.6;75.6;47 (1);7.8;5
Honolulu;February;68;75.2;35 (1);8.1;4
Honolulu;March;68.2;75.7;46 (1);8.7;4
Honolulu;April;69.4;77;19 (0);9.4;3
Honolulu;May;71;79;21 (0);10.0;3
Honolulu;June;72.5;80.2;15 (0);10.2;2
Honolulu;July;73.5;81.1;13 (0);10.1;2
Honolulu;August;74.2;81.9;17 (0);9.8;2
Honolulu;September;74.1;82;18 (0);9.6;3
Honolulu;October;73.6;81.1;27 (1);8.9;4
Honolulu;November;71.9;78.7;53 (2);8.2;5
Honolulu;December;70.1;76.7;55 (2);8.0;5
Hyderabad;January;60.8;83.4;7 (0);9.3;1
Hyderabad;February;65.1;88.5;3 (0);9.9;1
Hyderabad;March;70.5;94.3;10 (0);10.6;1
Hyderabad;April;76;98.4;19 (0);11.1;3
Hyderabad;May;79.8;100;27 (1);11.4;4
Hyderabad;June;75.8;90.1;101 (3);9.6;10
Hyderabad;July;73.2;84;159 (6);8.1;13
Hyderabad;August;72.3;82.5;162 (6);7.7;13
Hyderabad;September;71.7;83.7;129 (5);7.9;11
Hyderabad;October;69;84.7;98 (3);8.6;9
Hyderabad;November;64.3;83.4;26 (1);8.7;3
Hyderabad;December;60.7;82.3;4 (0);9.0;1
Istanbul;January;38.8;46.8;88 (3);5.0;10
Istanbul;February;39.4;48.2;75 (2);5.8;9
Istanbul;March;42;52.5;75 (2);7.4;8
Istanbul;April;47.4;59.7;50 (1);9.4;6
Istanbul;May;56.1;68.6;38 (1);10.8;5
Istanbul;June;64.7;77;35 (1);11.8;4
Istanbul;July;69.6;81.9;26 (1);11.7;3
Istanbul;August;71;82.4;24 (0);10.6;3
Istanbul;September;64.9;75.3;52 (2);9.1;5
Istanbul;October;57.3;65.9;80 (3);6.9;7
Istanbul;November;49.9;58.2;78 (3);6.0;8
Istanbul;December;42.8;50.3;107 (4);5.0;10
Ithaca;January;16.6;30.3;83 (3);3.3;11
Ithaca;February;17.6;33.4;72 (2);4.4;9
Ithaca;March;24.6;41.7;94 (3);5.8;10
Ithaca;April;36.6;55.2;103 (4);7.6;10
Ithaca;May;48.3;66.7;97 (3);9.2;10
Ithaca;June;57.2;74.1;104 (4);10.0;10
Ithaca;July;62;78.8;101 (3);10.6;9
Ithaca;August;61.3;77.1;91 (3);9.1;9
Ithaca;September;55.3;70.9;103 (4);7.3;8
Ithaca;October;44.5;58;109 (4);5.7;9
Ithaca;November;34.1;46.5;92 (3);4.6;10
Ithaca;December;24.2;35.3;97 (3);3.2;11
Jerusalem;January;41.1;56;80 (3);7.2;8
Jerusalem;February;42.2;58.5;71 (2);7.9;7
Jerusalem;March;45.5;65.3;46 (1);9.1;6
Jerusalem;April;50.7;73.3;21 (0);10.6;3
Jerusalem;May;57.2;81.9;9 (0);11.8;2
Jerusalem;June;62.6;87.8;1 (0);12.3;0
Jerusalem;July;66.6;91.6;0 (0);12.2;0
Jerusalem;August;67.8;91.7;0 (0);11.4;0
Jerusalem;September;65.2;87.6;3 (0);10.3;1
Jerusalem;October;60.3;79.8;23 (0);9.3;3
Jerusalem;November;51.9;68.3;38 (1);8.3;5
Jerusalem;December;44.7;59.5;56 (2);7.4;6
Joshua;January;39.2;57.8;65 (2);6.9;5
Joshua;February;42.7;61.7;68 (2);6.7;5
Joshua;March;49.6;69;88 (3);7.3;6
Joshua;April;57.7;77.1;99 (3);8.2;6
Joshua;May;65.3;83;122 (4);8.6;8
Joshua;June;72.8;89.7;89 (3);10.5;6
Joshua;July;76.6;94;43 (1);11.6;5
Joshua;August;77.4;94.7;57 (2);11.1;4
Joshua;September;70.4;88;59 (2);9.5;4
Joshua;October;60;78.1;94 (3);7.7;5
Joshua;November;49.9;67.1;80 (3);7.0;5
Joshua;December;41.1;58.2;73 (2);6.6;5
Juba;January;74.8;97.5;4 (0);10.7;1
Juba;February;77.1;100;7 (0);10.7;1
Juba;March;77.9;98.3;32 (1);10.8;5
Juba;April;76.2;94;104 (4);10.6;11
Juba;May;74.1;89.8;127 (5);10.4;14
Juba;June;72.3;87.4;114 (4);10.4;13
Juba;July;71.1;86.2;131 (5);10.2;14
Juba;August;70.8;85.8;144 (5);9.8;16
Juba;September;71.4;87;120 (4);9.4;13
Juba;October;72;87.5;177 (6);9.5;15
Juba;November;72.6;90.1;76 (2);10.2;8
Juba;December;73.9;94.5;12 (0);10.6;2
Juneau;January;19.3;25.6;251 (9);2.9;15
Juneau;February;19.1;26.7;188 (7);4.6;11
Juneau;March;21.3;29.5;189 (7);6.1;13
Juneau;April;28.7;38;143 (5);7.5;12
Juneau;May;36.3;47.3;139 (5);8.0;12
Juneau;June;45;55.5;138 (5);7.4;13
Juneau;July;49.4;59.6;183 (7);5.8;14
Juneau;August;48.9;59.6;236 (9);5.6;14
Juneau;September;42.9;52.7;346 (13);4.7;15
Juneau;October;33.5;41.6;333 (13);3.8;16
Juneau;November;23.1;29.8;265 (10);3.2;15
Juneau;December;19.2;25.6;276 (10);2.6;15
Kansas City;January;23.4;39.8;39 (1);6.1;5
Kansas City;February;26.1;44.1;53 (2);6.7;5
Kansas City;March;36.4;55.9;84 (3);7.4;7
Kansas City;April;47.5;67;127 (5);8.3;8
Kansas City;May;57.7;75.7;145 (5);9.5;10
Kansas City;June;67.3;84.7;134 (5);10.9;9
Kansas City;July;71.9;89.2;95 (3);11.5;7
Kansas City;August;70.5;87.8;96 (3);10.3;7
Kansas City;September;62.4;79.8;94 (3);9.2;6
Kansas City;October;50.4;67;87 (3);7.7;6
Kansas City;November;38.7;54.5;65 (2);6.7;5
Kansas City;December;27.5;42.4;50 (1);5.7;5
Kisumu;January;65.2;84.5;115 (4);10.2;11
Kisumu;February;66.4;87.1;94 (3);10.3;10
Kisumu;March;66;84.9;190 (7);9.7;15
Kisumu;April;65.4;81.4;288 (11);9.2;20
Kisumu;May;64.7;80.7;213 (8);9.4;19
Kisumu;June;64.4;80.4;109 (4);9.7;15
Kisumu;July;64.4;80.3;98 (3);9.8;14
Kisumu;August;64.6;81.2;107 (4);9.9;14
Kisumu;September;64.9;82.8;113 (4);10.0;15
Kisumu;October;65.4;82.5;202 (7);9.8;19
Kisumu;November;64.7;81.6;248 (9);9.6;18
Kisumu;December;64.4;82.3;189 (7);9.8;15
Kochi;January;34.6;47.4;76 (2);6.3;5
Kochi;February;35.7;50;109 (4);6.8;6
Kochi;March;40;56;167 (6);7.9;9
Kochi;April;47.9;64.3;207 (8);8.8;9
Kochi;May;56.5;71.6;244 (9);9.3;10
Kochi;June;64.5;76.2;370 (14);8.5;14
Kochi;July;71.9;82.4;366 (14);8.6;16
Kochi;August;73;83.5;309 (12);8.7;15
Kochi;September;67.8;79;337 (13);7.9;13
Kochi;October;58;70.7;231 (9);7.9;9
Kochi;November;47.5;60.9;124 (4);7.2;6
Kochi;December;38.4;51.1;91 (3);6.3;5
Kona;January;14.1;22.3;48 (1);1.1;9
Kona;February;14.1;23.6;41 (1);2.4;8
Kona;March;21.6;33.6;41 (1);5.3;8
Kona;April;33.3;49.8;39 (1);8.8;7
Kona;May;46;62.6;68 (2);11.5;9
Kona;June;53.6;68.5;81 (3);12.1;9
Kona;July;59.9;73.9;86 (3);11.7;10
Kona;August;56.7;70.2;82 (3);9.5;9
Kona;September;47.9;59.6;70 (2);6.2;8
Kona;October;37.7;46;67 (2);3.3;9
Kona;November;27.9;34.4;56 (2);1.7;9
Kona;December;20.7;27.5;48 (1);1.0;9
Konjic;January;21.9;34.2;100 (3);3.4;9
Konjic;February;23.3;36.3;105 (4);3.5;9
Konjic;March;29;43.5;105 (4);5.2;10
Konjic;April;37.7;53.6;121 (4);7.2;12
Konjic;May;45.3;61.7;107 (4);8.5;11
Konjic;June;52.4;69.1;82 (3);9.6;9
Konjic;July;56.5;73.7;71 (2);10.2;8
Konjic;August;57.2;75.2;58 (2);9.6;7
Konjic;September;49.3;64.6;95 (3);6.9;8
Konjic;October;42.3;56.7;110 (4);5.3;8
Konjic;November;34.3;46.9;133 (5);4.1;9
Konjic;December;25.1;36.6;128 (5);3.3;10
Korcula;January;41.4;50;135 (5);5.9;8
Korcula;February;41.8;51.3;119 (4);6.7;8
Korcula;March;46.2;56.2;113 (4);8.3;7
Korcula;April;51.8;62;116 (4);10.0;8
Korcula;May;58.8;69.5;77 (3);11.8;6
Korcula;June;66.4;77.5;49 (1);13.0;4
Korcula;July;70.9;82.4;26 (1);13.2;3
Korcula;August;71.1;82.6;45 (1);12.1;3
Korcula;September;64.3;74.7;119 (4);10.0;6
Korcula;October;57.7;67.2;167 (6);7.7;8
Korcula;November;51.3;59.6;228 (8);6.1;10
Korcula;December;44.2;52.3;169 (6);5.9;9
Koror;January;78.5;82;245 (9);8.2;18
Koror;February;78.2;81.7;209 (8);8.3;16
Koror;March;78.5;82.1;170 (6);8.6;16
Koror;April;78.9;82.7;188 (7);8.6;16
Koror;May;78.7;82.8;282 (11);8.3;19
Koror;June;78.2;82.5;360 (14);8.2;20
Koror;July;78.1;82.2;347 (13);8.5;20
Koror;August;78.2;82.1;279 (10);8.7;18
Koror;September;78.2;82.4;279 (10);8.5;18
Koror;October;78.6;82.6;262 (10);8.3;19
Koror;November;78.8;82.7;267 (10);8.0;19
Koror;December;78.8;82.4;272 (10);8.0;19
Kotor;January;33.5;44.4;214 (8);5.4;9
Kotor;February;33.9;46.1;216 (8);5.9;9
Kotor;March;38.4;52.1;199 (7);7.4;9
Kotor;April;44.6;59;197 (7);8.9;11
Kotor;May;52.3;66.6;154 (6);10.7;11
Kotor;June;60.2;74.2;99 (3);11.9;9
Kotor;July;64.6;78.8;76 (2);12.4;8
Kotor;August;65.4;79.7;81 (3);11.6;8
Kotor;September;58.2;70.7;200 (7);9.2;8
Kotor;October;51.3;63.3;265 (10);7.3;9
Kotor;November;44.1;54.9;360 (14);5.5;10
Kotor;December;36.4;46.9;283 (11);5.3;10
La Paloma;January;67.2;77.2;74 (2);10.3;5
La Paloma;February;67.8;76.6;99 (3);9.4;7
La Paloma;March;65.5;73.9;103 (4);8.0;8
La Paloma;April;60.7;69.2;130 (5);7.0;8
La Paloma;May;55.5;63.3;108 (4);6.2;7
La Paloma;June;50.7;59;115 (4);6.0;8
La Paloma;July;48.4;57.1;117 (4);6.1;8
La Paloma;August;49.7;59.2;111 (4);6.9;7
La Paloma;September;51.4;60.7;105 (4);7.2;6
La Paloma;October;55.4;64.8;115 (4);7.9;7
La Paloma;November;59.1;69.5;104 (4);9.7;6
La Paloma;December;63.4;74.1;83 (3);10.4;6
Lake;January;52.3;70.3;60 (2);7.1;4
Lake;February;55.2;73.6;50 (1);7.4;5
Lake;March;58.2;77.9;61 (2);8.6;5
Lake;April;63.2;83;55 (2);9.7;5
Lake;May;68.4;87.4;68 (2);10.4;6
Lake;June;73.4;88.2;157 (6);10.2;14
Lake;July;74.7;88.1;166 (6);10.1;17
Lake;August;75.3;88.3;164 (6);9.5;17
Lake;September;73.6;86.4;132 (5);8.8;13
Lake;October;67.9;82.8;58 (2);8.1;6
Lake;November;60.3;77;37 (1);7.4;3
Lake;December;56.4;73.2;47 (1);6.7;4
Las Vegas;January;39;58;25 (0);8.4;3
Las Vegas;February;41.1;62.1;31 (1);8.8;4
Las Vegas;March;47.8;71.2;17 (0);10.4;2
Las Vegas;April;54.1;78.9;8 (0);11.6;2
Las Vegas;May;62.5;88;6 (0);12.6;1
Las Vegas;June;73;98.9;2 (0);13.1;0
Las Vegas;July;79.7;102.9;8 (0);12.9;2
Las Vegas;August;77.8;100.5;11 (0);12.1;1
Las Vegas;September;70.1;93.4;8 (0);11.1;1
Las Vegas;October;58.3;80.3;9 (0);9.9;1
Las Vegas;November;47.2;66.8;10 (0);8.9;1
Las Vegas;December;38.5;55.9;22 (0);8.1;3
Leipzig;January;29.2;38;58 (2);3.2;10
Leipzig;February;29.5;40.8;44 (1);4.2;8
Leipzig;March;33.5;48;58 (2);5.6;10
Leipzig;April;40.4;57.8;46 (1);8.5;8
Leipzig;May;48.8;65.7;64 (2);9.9;8
Leipzig;June;55.1;71.4;68 (2);10.8;9
Leipzig;July;59.1;75.1;80 (3);11.1;9
Leipzig;August;58.7;74.9;68 (2);10.2;9
Leipzig;September;52.5;67.1;63 (2);7.3;8
Leipzig;October;45.3;57.5;52 (2);5.4;8
Leipzig;November;37.9;47.2;61 (2);3.8;8
Leipzig;December;32.5;40.2;61 (2);3.1;10
Lille;January;34.8;43.8;65 (2);3.3;9
Lille;February;34.5;45.4;55 (2);4.1;8
Lille;March;37.2;51.2;54 (2);5.5;8
Lille;April;41.4;58.1;55 (2);7.9;9
Lille;May;48;63.8;68 (2);8.5;9
Lille;June;53.2;69.2;65 (2);9.1;8
Lille;July;57.3;72.7;66 (2);9.5;8
Lille;August;56.9;72.1;74 (2);8.9;8
Lille;September;52.9;67.2;57 (2);6.9;8
Lille;October;48.1;59.8;63 (2);5.3;8
Lille;November;41.3;50.7;67 (2);3.7;9
Lille;December;36.2;44.7;74 (2);3.2;10
Limon;January;69.2;79.4;243 (9);7.7;18
Limon;February;69;80.3;146 (5);8.5;14
Limon;March;70;81;137 (5);8.9;15
Limon;April;71.5;82;126 (4);8.9;15
Limon;May;72.8;82;286 (11);8.1;20
Limon;June;72.9;82;305 (12);7.8;20
Limon;July;72.2;81.3;379 (14);7.3;21
Limon;August;72.4;81.9;296 (11);8.0;21
Limon;September;72.4;82.2;226 (8);8.3;20
Limon;October;72.5;81.5;271 (10);8.0;20
Limon;November;72;79.9;453 (17);6.7;20
Limon;December;70.5;79.6;358 (14);7.0;19
Lisbon;January;49;56.7;73 (2);5.8;7
Lisbon;February;49.1;57.9;55 (2);6.7;6
Lisbon;March;51.8;61.6;58 (2);7.6;6
Lisbon;April;54.7;64.9;56 (2);8.7;7
Lisbon;May;58.4;70;45 (1);10.0;5
Lisbon;June;62.8;75.7;12 (0);10.8;2
Lisbon;July;64.9;78.7;3 (0);10.7;1
Lisbon;August;66.1;80.4;5 (0);10.5;1
Lisbon;September;64.9;77.3;30 (1);9.3;3
Lisbon;October;61.5;71;84 (3);7.6;7
Lisbon;November;54.6;62.5;87 (3);6.4;8
Lisbon;December;50.6;58.2;83 (3);5.9;7
Ljubljana;January;26.7;38.3;66 (2);3.8;7
Ljubljana;February;27.3;41.1;79 (3);4.6;7
Ljubljana;March;33.6;49.9;81 (3);6.3;7
Ljubljana;April;41.3;58.8;98 (3);8.2;10
Ljubljana;May;48.6;66.1;106 (4);9.6;10
Ljubljana;June;55.8;73.7;110 (4);11.0;10
Ljubljana;July;59.5;77.2;100 (3);11.1;9
Ljubljana;August;59.4;76.7;114 (4);9.6;8
Ljubljana;September;51.9;67;128 (5);6.9;9
Ljubljana;October;45.3;58.4;122 (4);4.4;8
Ljubljana;November;37.9;48.7;130 (5);3.3;9
Ljubljana;December;29.2;40.2;90 (3);3.5;8
Loches;January;36.4;45.5;67 (2);3.1;9
Loches;February;35.6;47.4;57 (2);4.2;8
Loches;March;39.3;54;55 (2);6.1;8
Loches;April;43.8;59.8;62 (2);7.9;9
Loches;May;50.1;65.9;73 (2);8.6;9
Loches;June;57;73.1;56 (2);9.5;7
Loches;July;60;76.6;52 (2);9.9;7
Loches;August;59.8;76.8;51 (2);9.1;7
Loches;September;54.9;71.2;54 (2);7.5;6
Loches;October;50.1;63.1;72 (2);5.4;9
Loches;November;42.4;52.5;72 (2);3.8;9
Loches;December;37.4;46.8;74 (2);3.3;9
Loire;January;32.4;43.7;72 (2);3.9;9
Loire;February;32.1;46.1;59 (2);5.1;7
Loire;March;37;53.9;62 (2);7.3;8
Loire;April;42.8;60.8;89 (3);8.9;9
Loire;May;50;67.5;93 (3);9.8;9
Loire;June;57.4;75.8;83 (3);11.1;9
Loire;July;61.1;79.4;80 (3);11.5;7
Loire;August;60.5;78.7;78 (3);10.3;7
Loire;September;54.5;71.2;96 (3);8.1;7
Loire;October;48.3;62.7;105 (4);6.2;8
Loire;November;39.5;51.4;107 (4);4.4;9
Loire;December;34;44.9;73 (2);3.9;9
London;January;35.7;45.1;59 (2);3.3;8
London;February;35.5;46.1;50 (1);3.8;7
London;March;37.6;50.6;47 (1);5.0;8
London;April;41.2;56.4;54 (2);7.0;9
London;May;47.2;62;57 (2);7.6;8
London;June;52.5;67.3;60 (2);8.3;7
London;July;56.4;71.2;59 (2);8.8;8
London;August;56;70;65 (2);7.8;8
London;September;52.3;65.8;51 (2);6.1;7
London;October;47.5;58.7;60 (2);4.6;8
London;November;40.9;50.7;67 (2);3.7;8
London;December;37;45.9;61 (2);3.4;8
Los;January;44.1;67.2;84 (3);7.6;4
Los;February;44.2;66.9;89 (3);7.6;5
Los;March;47;70.5;54 (2);8.3;4
Los;April;49.5;73.9;19 (0);9.0;2
Los;May;54.1;77.4;11 (0);9.1;1
Los;June;58.9;82.6;3 (0);10.2;0
Los;July;64.3;88.3;2 (0);11.3;0
Los;August;64.8;89.5;0 (0);10.8;0
Los;September;62.6;87.7;4 (0);9.5;1
Los;October;56.5;81;17 (0);8.3;2
Los;November;49.7;73.5;21 (0);7.9;2
Los;December;43.8;65.9;53 (2);7.4;4
Lumbarda;January;40.1;49.6;135 (5);5.9;8
Lumbarda;February;40.6;51.1;119 (4);6.7;8
Lumbarda;March;45;56.3;113 (4);8.3;7
Lumbarda;April;50.8;62.3;116 (4);10.0;8
